Team,Seed,Did not win last year's championship,,Top 20 Off. and Top 45 Def.,,Past Quarterfinals,Away Win % > 50,Not in the red TOV ,Offense < 36 Spots,Shoot > 33 % from 3 ,,Score > 73 PPG,On or above 50th per TOV % ,,Unranked -> Top 10 ,No scoring margin under 10,,Scoring margin above 15 ,,FG % > 45 ,From Power Conference,,On or above 50th per 3PT %,,Ranked no worse than 12 ,,Not from Big East (expect for Villanova),,Not from Big Ten,Sum (Out of 18),Team
Virginia Tech,8,TRUE,FALSE,FALSE,,TRUE,,TRUE,3,Virginia Tech,,,,,,,,,,,,,,,,,,,,,
Dayton,8,FALSE,FALSE,FALSE,,TRUE,,TRUE,2,Dayton,,,,,,,,,,,,,,,,,,,,,
Miami,9,TRUE,FALSE,FALSE,,TRUE,,TRUE,3,Miami,,,,,,,,,,,,,,,,,,,,,
Wisconsin,9,TRUE,FALSE,FALSE,,TRUE,,FALSE,2,Wisconsin,,,,,,,,,,,,,,,,,,,,,
St. Louis,9,TRUE,FALSE,FALSE,,TRUE,,TRUE,3,St. Louis,,,,,,,,,,,,,,,,,,,,,
Villanova,9,TRUE,FALSE,FALSE,,TRUE,,TRUE,3,Villanova,,,,,,,,,,,,,,,,,,,,,
Mississippi St.,10,,FALSE,FALSE,,TRUE,,TRUE,2,Mississippi St.,,,,,,,,,,,,,,,,,,,,,
St. John's,10,,FALSE,FALSE,,FALSE,,TRUE,1,St. John's,,,,,,,,,,,,,,,,,,,,,
TCU,10,,FALSE,FALSE,,TRUE,,TRUE,2,TCU,,,,,,,,,,,,,,,,,,,,,
Arizona St.,10,,FALSE,FALSE,,TRUE,,TRUE,2,Arizona St.,,,,,,,,,,,,,,,,,,,,,
,,0 - 28 ,1 - 23 ,9 - 53 ,,1 - 17  ,,1 - 17 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Seed,Not in the red TOV ,Offense < 36 Spots,Sum (Out of 18),Team,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston,1,TRUE,FALSE,1,Houston,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1,TRUE,FALSE,1,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzaga,1,FALSE,FALSE,0,Gonzaga,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,1,TRUE,FALSE,1,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,2,TRUE,FALSE,1,Kansas,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,2,TRUE,FALSE,1,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,2,TRUE,FALSE,1,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor,2,TRUE,FALSE,1,Baylor,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,3,TRUE,FALSE,1,Duke,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,3,TRUE,FALSE,1,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego St.,3,TRUE,FALSE,1,San Diego St.,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,3,FALSE,FALSE,0,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,4,TRUE,FALSE,1,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,
Creighton,4,TRUE,FALSE,1,Creighton,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan St.,4,TRUE,FALSE,1,Michigan St.,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,4,FALSE,FALSE,0,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,5,FALSE,FALSE,0,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburn,5,TRUE,FALSE,1,Auburn,,,,,,,,,,,,,,,,,,,,,,,,,,
UCLA,5,TRUE,FALSE,1,UCLA,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,5,TRUE,FALSE,1,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,
